text,class,typetext
Hoy mi primo se encargó del aseo y yo pude dormir una siesta necesaria,Resiliencia,Apoyo social
Me siento vital tras haber desayunado con calma antes de empezar las tareas,Resiliencia,Autocuidado
Saber que no estoy sola en este proceso me hace sentir muy respaldada,Resiliencia,Apoyo social
Me siento satisfecha por haber mantenido la calma en un momento de confusión,Resiliencia,Paciencia
He comprendido que cuidar de mí es prioridad y me siento coherente,Resiliencia,Autocuidado
Me siento reconfortado después de hablar un buen rato con mi terapeuta,Resiliencia,Apoyo social
Logramos salir al jardín a tomar el sol y me siento muy animada,Resiliencia,Satisfacción por cuidar
Me siento descansada porque mi pareja se encargó de la guardia nocturna,Resiliencia,Descanso reparador
He aprendido a celebrar las pequeñas victorias diarias y me siento exitosa,Resiliencia,Satisfacción por cuidar
Me siento sereno al entender que mi labor tiene un valor inmenso,Resiliencia,Aceptación
Hoy el médico felicitó mi dedicación y me siento muy validada,Resiliencia,Satisfacción por cuidar
Me siento renovado tras una ducha larga y un café caliente en silencio,Resiliencia,Autocuidado
Contar con el servicio de teleasistencia me hace sentir mucho más segura,Resiliencia,Apoyo social
Me siento orgullosa de la paciencia que he desarrollado estos meses,Resiliencia,Paciencia
Hoy me siento llena de vida porque pude retomar mis clases de bordado,Resiliencia,Autocuidado
Aprender a delegar tareas me ha permitido sentirme mucho más descansada,Resiliencia,Apoyo social
Me siento en equilibrio después de meditar diez minutos esta mañana,Resiliencia,Autocuidado
Ver que hoy durmió tranquilo me permite sentirme relajada a mí también,Resiliencia,Descanso reparador
Me siento bendecida por el tiempo de calidad que comparto con mi madre,Resiliencia,Satisfacción por cuidar
Hoy decidí no estresarme por la limpieza y me siento mucho más libre,Resiliencia,Aceptación
Me siento entusiasta con el nuevo taller de memoria que estamos haciendo,Resiliencia,Satisfacción por cuidar
Tener a alguien que me escuche sin juzgar me hace sentir aliviada,Resiliencia,Apoyo social
Me siento empoderada al conocer mejor cómo manejar la enfermedad,Resiliencia,Satisfacción por cuidar
Hoy me siento con una paciencia infinita para explicarle las cosas de nuevo,Resiliencia,Paciencia
Poder dormir sin interrupciones me ha hecho sentir como nueva hoy,Resiliencia,Descanso reparador
Me siento útil ayudando a otras personas en mi misma situación,Resiliencia,Apoyo social
Hoy mi actitud es positiva y me siento con ganas de hacer cosas,Resiliencia,Resiliencia
Me siento calmada porque he aprendido a no tomarme nada como algo personal,Resiliencia,Aceptación
Hacer manualidades con ella me hace sentir una gran conexión emocional,Resiliencia,Satisfacción por cuidar
Me siento valorada por mis hermanos después de la reunión familiar de hoy,Resiliencia,Apoyo social
Hoy me siento con la mente clara para tomar decisiones importantes,Resiliencia,Aceptación
Disfrutar de un paseo corto bajo el sol me hace sentir muy bien,Resiliencia,Autocuidado
Me siento reconfortada al ver que hoy no hubo episodios de agitación,Resiliencia,Paciencia
Gracias a la enfermera de apoyo hoy me siento mucho menos cargada,Resiliencia,Apoyo social
Me siento plena al saber que estoy cumpliendo con mi propósito de cuidar,Resiliencia,Satisfacción por cuidar
He descansado profundamente y eso me hace sentir con mucha paciencia,Resiliencia,Descanso reparador
Me siento firme en mis decisiones de cuidado tras informarme bien,Resiliencia,Aceptación
Hoy me siento con humor para reírnos juntos de los pequeños despistes,Resiliencia,Paciencia
Me siento integrada en mi comunidad gracias al centro de día,Resiliencia,Apoyo social
Haber terminado el papeleo médico me hace sentir muy liberada,Resiliencia,Satisfacción por cuidar
Me siento fresca después de haber salido a comprar ropa para mí,Resiliencia,Autocuidado
Agradezco tener salud para cuidar y eso me hace sentir poderosa,Resiliencia,Satisfacción por cuidar
Me siento muy tranquila delegando la cena en mi hijo mayor hoy,Resiliencia,Apoyo social
Hoy me siento en armonía con los tiempos que marca la enfermedad,Resiliencia,Aceptación
Haber dormido un poco más hoy me hace sentir mucho más amable,Resiliencia,Descanso reparador
Me siento satisfecha por no haber perdido los nervios en todo el día,Resiliencia,Paciencia
Hoy me siento con energía para organizar un pequeño paseo familiar,Resiliencia,Apoyo social
Me siento radiante tras haber ido a la peluquería esta tarde,Resiliencia,Autocuidado
Saber que mi esfuerzo tiene sentido me hace sentir mucha paz,Resiliencia,Satisfacción por cuidar
Me siento acompañada en este camino por personas maravillosas,Resiliencia,Apoyo social
Hoy me siento con la capacidad de transformar un mal momento en risas,Resiliencia,Paciencia
Me siento descansada y lista para una nueva jornada de cuidado,Resiliencia,Descanso reparador
Acepto la realidad actual y me siento con serenidad para vivirla,Resiliencia,Aceptación
Me siento muy orgulloso de los avances que hemos logrado en movilidad,Resiliencia,Satisfacción por cuidar
Hoy pude hablar por teléfono con mi mejor amiga y me siento animada,Resiliencia,Apoyo social
Me siento estupendamente después de haber bailado un poco en el salón,Resiliencia,Autocuidado
Tener un plan B para emergencias me hace sentir muy tranquila,Resiliencia,Aceptación
Me siento con mucha templanza para manejar los cambios de humor,Resiliencia,Paciencia
Hoy me siento renovado porque pude ver mi serie favorita sin pausas,Resiliencia,Autocuidado
Me siento arropada por mis hijos en todas las decisiones de salud,Resiliencia,Apoyo social
Hoy desperté con una sonrisa y me siento con ganas de ayudar,Resiliencia,Satisfacción por cuidar
Me siento con el cuerpo descansado y la mente muy despejada,Resiliencia,Descanso reparador
Aprender técnicas de relajación me ha hecho sentir mucho mejor,Resiliencia,Autocuidado
Me siento una persona resiliente que sabe adaptarse a todo,Resiliencia,Aceptación
Hoy el día fluyó con calma y me siento muy satisfecha por ello,Resiliencia,Satisfacción por cuidar
Me siento con esperanza porque hoy ha comido con mucho apetito,Resiliencia,Satisfacción por cuidar
Compartir las tareas de casa con otros me hace sentir menos sola,Resiliencia,Apoyo social
Me siento con la paciencia necesaria para escuchar sus historias repetidas,Resiliencia,Paciencia
Hoy me siento con fuerza mental para no dejarme vencer por el cansancio,Resiliencia,Aceptación
Me siento bien al dedicar tiempo a mi propio bienestar personal,Resiliencia,Autocuidado
Poder dormir una siesta corta me hace sentir mucho más eficiente,Resiliencia,Descanso reparador
Me siento apoyada por el sistema de salud en este momento,Resiliencia,Apoyo social
Hoy me siento con una actitud constructiva frente a los problemas,Resiliencia,Aceptación
Me siento orgullosa de mi capacidad para mantener la alegría en casa,Resiliencia,Satisfacción por cuidar
Hoy me siento con una calma profunda que se contagia a mi familiar,Resiliencia,Paciencia
Me siento revitalizada tras pasar una hora en el jardín cuidando plantas,Resiliencia,Autocuidado
Recibir un abrazo de mi nieto me hace sentir con mucha energía,Resiliencia,Apoyo social
Me siento con claridad para organizar las citas médicas del mes,Resiliencia,Satisfacción por cuidar
Hoy me siento con el ánimo alto y el corazón muy tranquilo,Resiliencia,Aceptación
Me siento compensada por todo el amor que recibo de vuelta,Resiliencia,Satisfacción por cuidar
Siento que ya no puedo más con esta carga; el agotamiento me consume cada día.,Sobrecarga,Fatiga crónica
Estoy quemado y siento que mi paciencia se terminó hace mucho tiempo.,Sobrecarga,Irritabilidad
No tengo vida propia desde que empecé a cuidar; me siento anulada como persona.,Sobrecarga,Aislamiento
Mi familiar me agota tanto que a veces solo quiero desaparecer un rato.,Sobrecarga,Fatiga crónica
Siento que mis hermanos me han dejado toda la responsabilidad a mí solo.,Sobrecarga,Sentimiento de abandono
La espalda me duele horrores de tanto moverlo; ya no tengo fuerzas físicas.,Sobrecarga,Fatiga crónica
Me siento atrapado en una rutina que no tiene fin ni descanso posible.,Sobrecarga,Aislamiento
A veces le grito por cualquier cosa y luego me siento una persona horrible.,Sobrecarga,Irritabilidad
He dejado de ir a terapia y al gimnasio porque no tengo ni un minuto libre.,Sobrecarga,Falta de tiempo personal
Siento que el cansancio se me ha metido en los huesos y no se va con nada.,Sobrecarga,Fatiga crónica
Ya no reconozco mi casa; esto parece un hospital y me siento asfixiado.,Sobrecarga,Aislamiento
Estoy harto de que nadie me pregunte cómo estoy yo en medio de todo esto.,Sobrecarga,Irritabilidad
Siento que mi carrera profesional se hundió por dedicarme solo a cuidar.,Sobrecarga,Falta de tiempo personal
El peso de las tareas domésticas y los cuidados me tiene al borde del colapso.,Sobrecarga,Fatiga crónica
Me siento muy solo porque mis amigos dejaron de llamarme hace meses.,Sobrecarga,Aislamiento
A veces siento que mi mal humor está afectando a toda mi familia cercana.,Sobrecarga,Irritabilidad
No puedo más con los horarios de las medicinas; me siento como un robot.,Sobrecarga,Fatiga crónica
Cuidar de mi madre me está robando la juventud y siento mucha rabia por ello.,Sobrecarga,Irritabilidad
Me siento invisible en este hogar; solo sirvo para limpiar y dar pastillas.,Sobrecarga,Aislamiento
Estoy exhausto; siento que mi cuerpo va a decir basta en cualquier momento.,Sobrecarga,Fatiga crónica
A veces me despierto y lloro porque no quiero afrontar otro día igual.,Sobrecarga,Fatiga crónica
Siento que he perdido mi identidad y ya no sé quién soy fuera del cuidado.,Sobrecarga,Aislamiento
Me siento muy irritable y salto a la mínima con mis hijos por el estrés.,Sobrecarga,Irritabilidad
Ya no salgo ni a la puerta de la calle; me siento en una cárcel de cristal.,Sobrecarga,Aislamiento
Siento que el mundo sigue girando y yo me quedé estancado en este cuarto.,Sobrecarga,Aislamiento
El agotamiento mental es peor que el físico; siento que no puedo pensar bien.,Sobrecarga,Fatiga crónica
A veces siento que mi paciencia es un hilo muy fino a punto de romperse.,Sobrecarga,Irritabilidad
No tengo a nadie que me dé un relevo y siento que me voy a desmayar.,Sobrecarga,Fatiga crónica
Me siento muy quemado por la falta de apoyo de los servicios sociales.,Sobrecarga,Irritabilidad
Siento que mi vida se resume en pañales; médicos y una tristeza infinita.,Sobrecarga,Fatiga crónica
Mi salud se está deteriorando rápido y me siento impotente por no poder parar.,Sobrecarga,Fatiga crónica
A veces siento que el cuidado es una condena que me ha tocado vivir.,Sobrecarga,Irritabilidad
Me siento muy cansada de repetir las cosas mil veces al día sin éxito.,Sobrecarga,Irritabilidad
Estoy en un bucle de cansancio y falta de sueño que me está matando.,Sobrecarga,Fatiga crónica
Siento que todo ha perdido el sentido y me invade una tristeza muy honda.,Depresión,Desesperanza
Me despierto con un vacío en el pecho que no me deja respirar bien.,Depresión,Tristeza profunda
Siento que he fracasado como hijo por no tener alegría al cuidar de mi padre.,Depresión,Sentimiento de culpa
Ya nada de lo que antes me gustaba me hace ilusión; me siento vacío.,Depresión,Anhedonia
A veces me quedo mirando a la pared por horas sin sentir absolutamente nada.,Depresión,Apatía
Siento que mi futuro se ha borrado y solo queda esta tristeza constante.,Depresión,Desesperanza
Me siento muy culpable por desear que todo esto se termine pronto de una vez.,Depresión,Sentimiento de culpa
Lloro a escondidas en la cocina para que mi familiar no se dé cuenta.,Depresión,Llanto frecuente
Siento que mi vida no tiene ningún valor ahora que solo me dedico a esto.,Depresión,Baja autoestima
He perdido las ganas de arreglarme o de comer bien; me siento abandonada.,Depresión,Descuido personal
A veces pienso que estarían mejor sin mí; me siento una carga muy pesada.,Depresión,Desesperanza
Siento una pena enorme al ver cómo su mirada se apaga cada día más.,Depresión,Tristeza profunda
Me siento muy mal por haber pensado en llevarlo a una residencia.,Depresión,Sentimiento de culpa
Ya no tengo fuerzas ni para hablar con la gente; me siento muy hundido.,Depresión,Aislamiento
Siento que la depresión me está ganando la batalla en este proceso.,Depresión,Tristeza profunda
Me siento incapaz de sentir alegría incluso cuando él tiene un buen día.,Depresión,Anhedonia
A veces me siento como un muerto en vida que solo camina por inercia.,Depresión,Apatía
Siento que no soy lo suficientemente fuerte y eso me hace sentir inútil.,Depresión,Baja autoestima
Me invade una desesperanza atroz cuando pienso en los años que quedan así.,Depresión,Desesperanza
Siento que mi alma se ha secado de tanto dolor y tanto sacrificio diario.,Depresión,Tristeza profunda
Me siento muy culpable por sentir alivio cuando él se duerme por fin.,Depresión,Sentimiento de culpa
No puedo dejar de llorar cuando pienso en cómo era nuestra vida antes.,Depresión,Llanto frecuente
Siento que estoy cayendo en un pozo muy profundo y no veo la salida.,Depresión,Desesperanza
Me siento muy sola en este mundo a pesar de estar acompañada todo el día.,Depresión,Aislamiento
Ya no disfruto ni de un café; siento que la amargura lo llena todo ahora.,Depresión,Anhedonia
Siento que he decepcionado a mi familia por no ser más fuerte mentalmente.,Depresión,Sentimiento de culpa
Me siento muy triste porque ya no puedo conectar emocionalmente con nadie.,Depresión,Tristeza profunda
A veces siento que mi existencia no tiene ningún propósito real ahora.,Depresión,Desesperanza
Me siento muy pequeña y vulnerable frente a esta situación tan difícil.,Depresión,Baja autoestima
Siento que la melancolía se ha vuelto mi única compañera de cuarto.,Depresión,Tristeza profunda
Me siento fatal por haber perdido los nervios y haber gritado ayer.,Depresión,Sentimiento de culpa
No pego ojo en toda la noche pensando en qué pasará si yo me enfermo.,Ansiedad,Insomnio
Me despierto con mucha angustia pensando en lo que pasará hoy en casa.,Ansiedad,Preocupación incontrolable
Cualquier ruido extraño que hace me pone el corazón a mil por hora.,Ansiedad,Hipervigilancia
Siento una presión en el pecho constante que no me deja estar tranquilo.,Ansiedad,Sintomatología somática
Me aterra pensar en el futuro y en cuánto tiempo más podremos aguantar.,Ansiedad,Miedo al futuro
Repaso las dosis de las pastillas mil veces porque me da pánico equivocarme.,Ansiedad,Rumiación
Siento que me falta el aire cuando pienso en todo lo que tengo pendiente.,Ansiedad,Ataque de pánico
Vivo en un estado de alerta constante que me tiene los nervios destrozados.,Ansiedad,Hipervigilancia
Me da mucho miedo no estar a la altura de lo que mi familiar necesita.,Ansiedad,Incertidumbre
Siento que algo malo va a pasar en cualquier momento y no puedo evitarlo.,Ansiedad,Preocupación incontrolable
El corazón me late muy fuerte cada vez que suena el teléfono del médico.,Ansiedad,Sintomatología somática
No puedo dejar de pensar en escenarios terribles sobre su enfermedad.,Ansiedad,Rumiación
Me siento muy inquieta y no puedo estar sentada tranquila ni cinco minutos.,Ansiedad,Agitación
Tengo miedo de quedarme sin dinero para pagar todos estos tratamientos.,Ansiedad,Preocupación incontrolable
Siento que el tiempo se me escapa de las manos y me entra mucho pánico.,Ansiedad,Ataque de pánico
Me cuesta mucho concentrarme porque mi cabeza no para de dar vueltas.,Ansiedad,Rumiación
Siento una angustia que me sube por la garganta cada vez que lo veo mal.,Ansiedad,Sintomatología somática
Me aterra la idea de que se caiga cuando yo no esté mirando.,Ansiedad,Hipervigilancia
No puedo dormir pensando en los resultados de las pruebas de la semana.,Ansiedad,Insomnio
Siento que estoy siempre al límite de un ataque de nervios por todo.,Ansiedad,Preocupación incontrolable
Me da pánico que me pase algo a mí y que él se quede solo en casa.,Ansiedad,Miedo al futuro
Siento que vivo en una amenaza constante que no me deja descansar.,Ansiedad,Hipervigilancia
Me despierto sobresaltada a mitad de la noche pensando que me llama.,Ansiedad,Insomnio
Siento que los problemas me sepultan y me entra una ansiedad horrible.,Ansiedad,Ataque de pánico
Me preocupa mucho no darme cuenta de algún síntoma nuevo importante.,Ansiedad,Preocupación incontrolable
Siento que mis manos tiemblan cada vez que tengo que hacerle una cura.,Ansiedad,Sintomatología somática
La incertidumbre sobre su evolución me genera una angustia insoportable.,Ansiedad,Incertidumbre
Siento que el miedo se ha instalado en mi vida y no sé cómo echarlo.,Ansiedad,Preocupación incontrolable
No puedo relajarme ni cuando estoy fuera de casa por el bendito miedo.,Ansiedad,Hipervigilancia
Siento que voy a perder el control de mi mente si esto sigue así.,Ansiedad,Ataque de pánico
Me paso la noche en vela vigilando su respiración por puro miedo.,Ansiedad,Insomnio
Siento que la ansiedad me está robando la poca salud que me quedaba.,Ansiedad,Sintomatología somática
Me aterra que la situación empeore y no saber cómo reaccionar.,Ansiedad,Incertidumbre
Siento que mi cabeza va a estallar de tanto darles vueltas a las cosas.,Ansiedad,Rumiación
Me da mucho miedo la soledad que me espera si él llega a faltar.,Ansiedad,Miedo al futuro
